Category,Metric,Year,Value
Markets,No_of_Markets,2022,96
Markets,No_of_Markets,2023,96
Markets,No_of_Markets,2024,96
Markets,No_of_Markets,2025,95
Markets,Market_Stalls,2022,12511
Markets,Market_Stalls,2023,12655
Markets,Market_Stalls,2024,12604
Markets,Market_Stalls,2025,12246
Licences,Food_Business_Licences_Full,2022,12630
Licences,Food_Business_Licences_Full,2023,12830
Licences,Food_Business_Licences_Full,2024,12707
Licences,Food_Business_Licences_Full,2025,12474
Licences,Liquor_Licences,2022,9200
Licences,Liquor_Licences,2023,9312
Licences,Liquor_Licences,2024,8989
Licences,Liquor_Licences,2025,8578
Hawker,Fixed_Pitch,2022,5200
Hawker,Fixed_Pitch,2023,5053
Hawker,Fixed_Pitch,2024,4848
Hawker,Fixed_Pitch,2025,4714
Hawker,Itinerant,2022,304
Hawker,Itinerant,2023,270
Hawker,Itinerant,2024,233
Hawker,Itinerant,2025,218
Livestock,Total_Slaughtered,2022,1084037
Livestock,Total_Slaughtered,2023,1132854
Livestock,Total_Slaughtered,2024,1124302
Livestock,Total_Slaughtered,2025,1172312
Water_Sampling,Fish_Tank,2022,5138
Water_Sampling,Fish_Tank,2023,6973
Water_Sampling,Fish_Tank,2024,7938
Water_Sampling,Fish_Tank,2025,7710
